FECHA	PM2.5
2020-01-01	27
2020-01-02	28.6
2020-01-03	29.5
2020-01-04	27.5
2020-01-05	30
2020-01-06	29.5
2020-01-07	34.4
2020-01-08	29
2020-01-09	26.7
2020-01-10	20.2
2020-01-11	16.1
2020-01-12	20
2020-01-13	27.2
2020-01-14	24.1
2020-01-15	26.4
2020-01-16	23
2020-01-17	28.2
2020-01-18	26
2020-01-19	25
2020-01-20	30.1
2020-01-21	27.2
2020-01-22	22
2020-01-23	23.1
2020-01-24	20.9
2020-01-25	22.1
2020-01-26	23.1
2020-01-27	25.3
2020-01-28	30.4
2020-01-29	31
2020-01-30	31.8
2020-01-31	31.3
2020-02-01	31.3
2020-02-02	30.4
2020-02-03	32.6
2020-02-04	26.6
2020-02-05	25.6
2020-02-06	27.6
2020-02-07	23.7
2020-02-08	26.3
2020-02-09	26.3
2020-02-10	21.7
2020-02-11	19.3
2020-02-12	24
2020-02-13	24.5
2020-02-14	24.7
2020-02-15	19.9
2020-02-16	21.7
2020-02-17	29
2020-02-18	25.6
2020-02-19	21
2020-02-20	24.8
2020-02-21	24.1
2020-02-22	25.1
2020-02-23	24.8
2020-02-24	22.6
2020-02-25	19
2020-02-26	26.9
2020-02-27	21.7
2020-02-28	19.2
2020-02-29	26.5
2020-03-01	22
2020-03-02	24.1
2020-03-03	19.7
2020-03-04	21.7
2020-03-05	22.9
2020-03-06	20
2020-03-07	24
2020-03-08	21.2
2020-03-09	21.4
2020-03-10	23.8
2020-03-11	25.8
2020-03-12	25.9
2020-03-13	28.3
2020-03-14	28.5
2020-03-15	24.6
2020-03-16	25.5
2020-03-17	27.6
2020-03-18	27.2
2020-03-19	26
2020-03-20	23.1
2020-03-21	22.5
2020-03-22	22.5
2020-03-23	25.5
2020-03-24	25.3
2020-03-25	23.5
2020-03-26	25.7
2020-03-27	23.3
2020-03-28	24.3
2020-03-29	27.4
2020-03-30	27.4
2020-03-31	27.7
2020-04-01	27.2
2020-04-02	28.5
2020-04-03	21.4
2020-04-04	19.7
2020-04-05	25.3
2020-04-06	27
2020-04-07	26.7
2020-04-08	34
2020-04-09	32.8
2020-04-10	33.1
2020-04-11	27.9
2020-04-12	27.2
2020-04-13	30.6
2020-04-14	33
2020-04-15	31.7
2020-04-16	29.2
2020-04-17	27.6
2020-04-18	31.3
2020-04-19	26.8
2020-04-20	26.4
2020-04-21	25.4
2020-04-22	27.1
2020-04-23	25.3
2020-04-24	25
2020-04-25	21.3
2020-04-26	20.9
2020-04-27	20.9
2020-04-28	21.9
2020-04-29	22.5
2020-04-30	26.7
2020-05-01	26.9
2020-05-02	25.8
2020-05-03	23.3
2020-05-04	24.3
2020-05-05	29.5
2020-05-06	27.4
2020-05-07	27.3
2020-05-08	29.3
2020-05-09	31.1
2020-05-10	32.3
2020-05-11	26.5
2020-05-12	29
2020-05-13	26.4
2020-05-14	25.3
2020-05-15	26.1
2020-05-16	24.7
2020-05-17	23.5
2020-05-18	21.6
2020-05-19	25.5
